state_ut,valid_pixels,analytical_area_km2,mean_pesm,median_pesm,p10_pesm,p90_pesm,max_pesm,area_pesm_gt0_km2,area_pesm_ge1_km2,area_pesm_ge2_km2,pct_pesm_gt0,pct_pesm_ge1,pct_pesm_ge2,pesm_extent_class,rank_pct_ge1,rank_area_ge1
Himāchal Pradesh,24683,24683.0,1.2957167500858808,1.1808412075042725,-0.643859326839447,3.3861639499664307,4.586095809936523,19200.0,13067.0,9267.0,77.78633067293279,52.93926994287566,37.54405866385772,Extensive,1.0,10.0
Assam,57915,57915.0,1.3204194210557132,1.035006046295166,-0.46698966622352583,3.5507461547851564,5.198714733123779,46702.0,29485.0,18998.0,80.63886730553398,50.910817577484245,32.80324613657947,Extensive,2.0,2.0
Sikkim,2119,2119.0,0.8977444296869866,0.47723588347435,-0.9327802538871764,3.260339879989624,4.261772155761719,1482.0,873.0,617.0,69.93865030674847,41.198678621991505,29.117508258612553,Extensive,3.0,29.0
Meghālaya,14733,14733.0,0.6238203275778395,0.45944204926490784,-0.9817668437957764,2.508190774917603,4.470757961273193,9466.0,5493.0,2843.0,64.25032240548428,37.28364895133374,19.29681667006041,Extensive,4.0,18.0
Uttarākhand,27541,27541.0,0.4958458119057776,0.20153771340847015,-1.1343077421188354,2.636178731918335,4.3166399002075195,15603.0,9499.0,5437.0,56.65371627754983,34.49039613666896,19.74147634435932,Extensive,5.0,14.0
Arunāchal Pradesh,11218,11218.0,0.6704748066756311,0.5685095489025116,-0.7456592381000519,2.198639297485352,4.5154128074646,9027.0,3854.0,1431.0,80.46888928507755,34.35550008914245,12.756284542699234,Extensive,6.0,20.0
Mizoram,4003,4003.0,0.3726207262648469,0.3654859960079193,-1.2035366296768186,1.8766815662384035,4.482645511627197,2749.0,1072.0,357.0,68.67349487884087,26.779915063702223,8.918311266550088,Elevated,7.0,28.0
Kerala,30914,30914.0,0.6868378096763886,0.4503166824579239,-0.447814416885376,2.4892609834671022,4.716042995452881,22954.0,8204.0,4125.0,74.25114834702724,26.5381380604257,13.343468978456363,Elevated,8.0,17.0
Rājasthān,263575,263575.0,0.32017940509760473,0.1606711745262146,-1.0963922977447509,2.1506272315979005,5.0153703689575195,148265.0,68503.0,31497.0,56.25154130702836,25.989945935691928,11.949919377786209,Elevated,9.0,1.0
Jammu and Kashmīr,33901,33901.0,0.37822492055073476,0.21739879250526428,-0.9802632331848145,2.1088786125183105,4.8980841636657715,20773.0,8437.0,3770.0,61.27547859945135,24.887171469868147,11.120615911035072,Elevated,10.0,15.0
Nāgāland,6213,6213.0,0.16820627428442214,0.19586637616157532,-1.5139188051223753,1.807818102836609,4.381645202636719,3649.0,1475.0,484.0,58.731691614357,23.740544020601963,7.790117495573797,Elevated,11.0,26.0
Jhārkhand,66920,66920.0,0.17547352959173396,-0.1150105632841587,-1.138806128501892,2.096427893638611,4.553488254547119,30537.0,15262.0,7264.0,45.632098027495516,22.806335923490735,10.854751942618051,Elevated,12.0,9.0
West Bengal,75690,75690.0,0.4362873546701267,0.1677858605980873,-0.836702299118042,2.4706632614135744,4.8255228996276855,44237.0,17188.0,9459.0,58.44497291584093,22.708415906989035,12.497027348394768,Elevated,13.0,8.0
Manipur,7183,7183.0,0.27926843465493073,0.377420037984848,-1.216091442108154,1.467123317718506,4.273110389709473,4986.0,1501.0,341.0,69.413893916191,20.896561325351524,4.747320061255743,Elevated,14.0,25.0
Tripura,7979,7979.0,0.33957963414170894,0.12564420700073242,-0.7567101836204528,2.074658823013305,4.4438157081604,4504.0,1662.0,856.0,56.448176463215944,20.82967790449931,10.72816142373731,Elevated,15.0,24.0
Gujarāt,138797,138797.0,-0.001603877067883241,-0.16144786775112152,-1.434198760986328,1.8932354927062993,4.674072742462158,60199.0,25062.0,12772.0,43.37197489859291,18.0565862374547,9.201927995561864,Moderate,16.0,5.0
Odisha,110271,110271.0,-0.07441695376641115,-0.2675445079803467,-1.3630975484848022,1.597210168838501,4.296550273895264,44470.0,18982.0,7204.0,40.32791939857261,17.213954711574214,6.532995982624625,Moderate,17.0,7.0
Ladākh,7253,7253.0,0.11007622115299528,0.18649086356163025,-1.7245000362396241,1.5646467208862307,4.720134735107422,5216.0,1238.0,463.0,71.9150696263615,17.068799117606506,6.383565421205018,Moderate,18.0,27.0
Karnātaka,150256,150256.0,-0.07034983535335528,-0.34633781015872955,-1.3481830954551697,1.9566906094551086,4.793140411376953,53200.0,25619.0,14528.0,35.40624001703759,17.05023426685124,9.66883186029177,Moderate,19.0,4.0
Chhattīsgarh,87030,87030.0,-0.2581504135546722,-0.40538252890110016,-1.4397892117500306,1.1800476789474499,4.246637344360352,29787.0,10509.0,3376.0,34.2261289210617,12.075146501206481,3.8791221417901873,Moderate,20.0,12.0
Mahārāshtra,244203,244203.0,-0.28949788469366367,-0.43249765038490295,-1.4451738595962524,1.1409249305725102,4.413248062133789,73422.0,26969.0,13020.0,30.065969705531874,11.043680872061358,5.33162983255734,Moderate,21.0,3.0
Madhya Pradesh,226028,226028.0,-0.3270834777084097,-0.4527662843465805,-1.4984861850738525,1.0702652812004099,4.366816520690918,66472.0,23995.0,10067.0,29.40874581910206,10.615941387792663,4.453872971490258,Moderate,22.0,6.0
Andhra Pradesh,99342,99342.0,-0.26179290923684734,-0.31451159715652466,-1.4364045858383179,0.9873334586620341,5.43330192565918,34639.0,9808.0,3270.0,34.868434297678725,9.872964103803024,3.2916591169897926,Limited,23.0,13.0
Haryāna,42710,42710.0,-0.08395463103448043,-0.1903546378016472,-0.9803622782230377,0.838772952556609,4.669835567474365,15992.0,3657.0,1673.0,37.44322172793257,8.562397564973073,3.91711542964177,Limited,24.0,21.0
Tamil Nādu,109894,109894.0,-0.10809383965710904,-0.19476436078548431,-0.9804803490638733,0.7801713228225707,5.450230598449707,41383.0,8339.0,3456.0,37.65719693522849,7.588221376963255,3.1448486723569986,Limited,25.0,16.0
Bihār,82197,82197.0,-0.03800714017773497,-0.11949606239795685,-0.7207422494888306,0.6055755972862245,4.81909704208374,32264.0,5003.0,2091.0,39.25204082874071,6.086596834434347,2.5438884630825944,Limited,26.0,19.0
Uttar Pradesh,211069,211069.0,-0.12906169345131607,-0.19127246737480164,-0.831021738052368,0.5520634651184085,4.4553937911987305,72559.0,10994.0,4174.0,34.376909920452555,5.208723213735793,1.9775523643926867,Limited,27.0,11.0
Andaman and Nicobar Islands,858,858.0,-0.5326209994994152,-0.17722900956869125,-2.3476956367492674,0.6001387178897868,4.1289191246032715,400.0,42.0,12.0,46.62004662004662,4.895104895104895,1.3986013986013985,Limited,28.0,31.0
Punjab,49381,49381.0,-0.17650160103380577,-0.19177447259426117,-0.9536774754524231,0.528226375579834,4.475066661834717,17545.0,2026.0,800.0,35.529859662623274,4.102792572041879,1.6200562969563193,Limited,29.0,23.0
Telangāna,74905,74905.0,-0.7907675266597273,-0.7875717878341675,-1.8305408954620361,0.16419149935245592,4.322229862213135,10210.0,2297.0,767.0,13.630598758427341,3.0665509645551032,1.023963687337294,Limited,30.0,22.0
Goa,2644,2644.0,-1.0435969929648323,-1.0925748348236084,-1.8713989973068237,-0.24720435291528645,2.5951948165893555,191.0,63.0,4.0,7.223903177004539,2.3827534039334344,0.15128593040847202,Limited,31.0,30.0
Dādra and Nagar Haveli and Damān and Diu,568,568.0,-0.6832063970087149,-0.7440737187862396,-1.3853973984718322,0.05981690213084223,2.776721954345703,70.0,6.0,2.0,12.32394366197183,1.056338028169014,0.352112676056338,Limited,32.0,32.0
Puducherry,498,498.0,-0.1743896714111053,-0.15259666740894318,-0.7537057101726532,0.3983810842037201,1.1891124248504639,191.0,2.0,0.0,38.35341365461847,0.40160642570281124,0.0,Limited,33.0,33.0
Lakshadweep,17,17.0,-1.4508534371852875,-1.273724913597107,-2.3174460887908936,-0.6961725711822508,0.1482342779636383,1.0,0.0,0.0,5.882352941176471,0.0,0.0,Limited,34.0,34.0
Delhi,1464,1464.0,-0.4579390425285448,-0.3844026178121567,-1.0748229503631592,0.05976124256849291,0.7735158801078796,194.0,0.0,0.0,13.251366120218579,0.0,0.0,Limited,34.0,34.0
Chandīgarh,116,116.0,-0.3845929689384226,-0.3792676031589508,-0.6160854399204254,-0.12536071240901947,0.14731930196285248,4.0,0.0,0.0,3.4482758620689653,0.0,0.0,Limited,34.0,34.0
